Station_Name,Train,count
Broad St,[{'NAME': 'J-Z'}],1
Gates Ave,[{'NAME': 'J-Z'}],1
75th St - Eldert Ln,[{'NAME': 'J-Z'}],1
Crescent St,[{'NAME': 'J-Z'}],1
121st St,[{'NAME': 'J-Z'}],1
Woodhaven Blvd,[{'NAME': 'J-Z'}],1
Chauncey St,[{'NAME': 'J-Z'}],1
104th-102nd Sts,[{'NAME': 'J-Z'}],1
Norwood Ave,[{'NAME': 'J-Z'}],1
DeKalb Ave,"[{'NAME': 'B-D-N-Q-R'}, {'NAME': 'L'}]",2
80th St,[{'NAME': 'A-S'}],1
88th St,[{'NAME': 'A-S'}],1
Ozone Park - Lefferts Blvd,[{'NAME': 'A-S'}],1
Grant Ave,[{'NAME': 'A-S'}],1
Rockaway Park - Beach 116 St,[{'NAME': 'A-S'}],1
Beach 98th St,[{'NAME': 'A-S'}],1
Rockaway Blvd,[{'NAME': 'A-S'}],1
Broad Channel,[{'NAME': 'A-S'}],1
104th St,[{'NAME': 'A-S'}],1
111th St,"[{'NAME': 'A-S'}, {'NAME': 'J'}, {'NAME': '7'}]",3
Beach 90th St,[{'NAME': 'A-S'}],1
Beach 105th St,[{'NAME': 'A-S'}],1
President St,[{'NAME': '2-5'}],1
3rd Ave - 149th St,[{'NAME': '2-5'}],1
149th St - Grand Concourse,"[{'NAME': '2-5'}, {'NAME': '4'}]",2
E 180th St,[{'NAME': '2-5'}],1
Burke Ave,[{'NAME': '2-5'}],1
219th St,[{'NAME': '2-5'}],1
West Farms Sq - E Tremont Av,[{'NAME': '2-5'}],1
Allerton Ave,[{'NAME': '2-5'}],1
174th St,[{'NAME': '2-5'}],1
Prospect Ave,"[{'NAME': '2-5'}, {'NAME': 'D-N-R'}]",2
Jackson Ave,[{'NAME': '2-5'}],1
225th St,[{'NAME': '2-5'}],1
Sterling St,[{'NAME': '2-5'}],1
Brooklyn College - Flatbush Ave,[{'NAME': '2-5'}],1
Newkirk Ave,"[{'NAME': '2-5'}, {'NAME': 'B-Q'}]",2
Church Ave,"[{'NAME': '2-5'}, {'NAME': 'F-G'}, {'NAME': 'B-Q'}]",3
Beverly Rd,"[{'NAME': '2-5'}, {'NAME': 'Q'}]",2
233rd St,[{'NAME': '2-5'}],1
Winthrop St,[{'NAME': '2-5'}],1
Bronx Park East,[{'NAME': '2-5'}],1
Simpson St,[{'NAME': '2-5'}],1
Nereid Ave (238 St),[{'NAME': '2-5'}],1
