Train_Name,Station,count
7-7 Express,"[{'NAME': '34th St - Hudson Yards'}, {'NAME': '5th Ave - Bryant Pk'}, {'NAME': 'Grand Central - 42nd St'}, {'NAME': 'Times Sq - 42nd St'}, {'NAME': 'Vernon Blvd - Jackson Ave'}, {'NAME': 'Hunters Point Ave'}, {'NAME': 'Court Sq'}, {'NAME': 'Woodside - 61st St'}, {'NAME': 'Flushing - Main St'}, {'NAME': 'Junction Blvd'}, {'NAME': 'Mets - Willets Point'}]",11
6-6 Express,"[{'NAME': 'Parkchester'}, {'NAME': 'Westchester Sq - E Tremont Ave'}, {'NAME': 'Pelham Bay Park'}, {'NAME': 'Middletown Rd'}, {'NAME': 'Hunts Point Ave'}, {'NAME': 'Zerega Ave'}, {'NAME': 'Castle Hill Ave'}, {'NAME': '3rd Ave - 138th St'}, {'NAME': 'Buhre Ave'}]",9
4-5-6-6 Express,"[{'NAME': '125th St'}, {'NAME': '86th St'}, {'NAME': 'Union Sq - 14th St'}, {'NAME': 'Lexington Ave - 59th St'}, {'NAME': 'Grand Central - 42nd St'}, {'NAME': 'Brooklyn Bridge - City Hall'}]",6
D-N-R,"[{'NAME': '25th St'}, {'NAME': '36th St'}, {'NAME': '4th Av - 9th St'}, {'NAME': 'Prospect Ave'}, {'NAME': 'Union St'}]",5
2-3-4-5,"[{'NAME': 'Nevins St'}, {'NAME': ""Atlantic Av - Barclay's Center""}, {'NAME': 'Franklin Ave'}]",3
4,"[{'NAME': 'Woodlawn'}, {'NAME': 'Fordham Rd'}, {'NAME': '183rd St'}, {'NAME': '167th St'}, {'NAME': 'Mosholu Pkwy'}, {'NAME': '170th St'}, {'NAME': 'Mt Eden Ave'}, {'NAME': 'Bedford Park Blvd - Lehman College'}, {'NAME': 'Kingsbridge Rd'}, {'NAME': 'Burnside Ave'}, {'NAME': '176th St'}, {'NAME': '161st St - Yankee Stadium'}, {'NAME': '149th St - Grand Concourse'}]",13
6,"[{'NAME': 'Brook Ave'}, {'NAME': ""E 143rd St - St Mary's St""}, {'NAME': 'Cypress Ave'}, {'NAME': 'Longwood Ave'}, {'NAME': 'Elder Ave'}, {'NAME': 'St Lawrence Ave'}, {'NAME': 'Whitlock Ave'}, {'NAME': 'Morrison Av - Soundview'}, {'NAME': 'E 149th St'}]",9
A,"[{'NAME': 'Dyckman St'}, {'NAME': '190th St'}, {'NAME': '181st St'}, {'NAME': 'Inwood - 207th St'}, {'NAME': 'Aqueduct - North Conduit Av'}, {'NAME': 'Howard Beach - JFK Airport'}, {'NAME': 'Beach 67th St'}, {'NAME': 'Beach 25th St'}, {'NAME': 'Beach 36th St'}, {'NAME': 'Beach 60th St'}, {'NAME': 'Beach 44th St'}, {'NAME': '175th St'}, {'NAME': 'Aqueduct Racetrack'}, {'NAME': 'Far Rockaway - Mott Ave'}]",14
B-D-F-M,"[{'NAME': 'Broadway - Lafayette St'}, {'NAME': 'Herald Sq - 34th St'}, {'NAME': '47th-50th Sts - Rockefeller Ctr'}, {'NAME': 'W 4th St - Washington Sq (Lower)'}, {'NAME': '42nd St - Bryant Pk'}]",5
B-Q-S,[{'NAME': 'Prospect Park'}],1
